张家,24,为的是,34
按着,24,明年,34
皇上,23,一年,34
人们,23,令人,34
丢开,23,神仙,34
舅母,23,金荣,34
垂手,23,大观园,34
珍珠,23,藕官,34
倪二,23,一应,34
无益,23,也未可知,34
省事,23,喝酒,34
妙玉道,23,行礼,34
几处,23,儿道,34
问是,23,那里去了,34
出气,23,王仁,34
子弟,23,孙子,34
自觉,23,就该,34
正自,23,三人,34
身体,23,不便,34
一宿,23,忙说,34
心肠,23,做的,34
教训,23,在内,34
闻得,23,且不,34
小人,23,何处,34
两声,23,房门,33
留心,23,不用说,33
怕人,23,书房,33
一说,23,笑了,33
雀儿,23,厅上,33
清净,23,一笑,33
不堪,23,还了得,33
体统,23,这日,33
疑心,23,琏二爷,33
希罕,23,哭着,33
直到,23,宝钗等,33
走走,23,越性,33
一群,23,馀者,33
说闲话,23,非常,33
论理,23,离了,33
见面,23,我不,33
平安,23,奇怪,33
家务,23,道士,33
东府里,23,说起,33
标致,23,贾蔷,33
孝顺,23,听着,33
至此,23,李嬷嬷,33
王家,23,甄家,33
十二个,23,朋友,33
山坡,23,我有,33
分派,23,新鲜,33
贵妃,23,病的,33
贾母房,23,恍惚,33
禁不住,23,登时,32
伶俐,23,辛苦,32
眼看,23,理他,32
马道婆,23,饮食,32
若有,22,金陵,32
不小,22,女婿,32
家伙,22,他是,32
有何,22,过一,32
眼里,22,回头,32
你家,22,我去,32
合家,22,弄了,32
天地,22,一步,32
面上,22,写着,32
鲍二,22,大人,32
极好,22,他又,32
李氏,22,见问,32
金荣,22,恰好,32
最是,22,夜里,32
两府,22,往里,32
怀里,22,省得,32
紫鹃笑,22,自从,32
听到,22,与我,32
风声,22,的好,32
进门,22,睡下,32
细说,22,要知,32
左右,22,等语,32
帮着,22,领了,32
异常,22,庙里,32
一套,22,彼时,32
一生,22,来回,32
不犯,22,春燕,32
私自,22,忙命,32
男子,22,输了,32
有钱,22,满面,32
终身,22,便不,32
水月庵,22,一层,32
王子腾,22,往那里去,32
林家,22,名唤,32
铁槛,22,又怕,32
人回,22,看看,32
作践,22,无可,32
无心,22,更不,32
方欲,22,了一,32
齐全,22,二哥哥,32
一篇,22,收着,31
一钟,22,下去,31
使用,22,清楚,31
着眼,22,用手,31
贾政便,22,桂花,31
天上,22,一声儿,31
真的,22,倒有,31
只觉,22,烦恼,31
阴阳,22,有的,31
不相干,22,呆呆的,31
过不去,22,便知,31
先时,22,个字,31
拌嘴,22,诸人,31
三分,22,但只,31
闺阁,21,族中,31
因想,21,这几日,31
黛玉忙,21,大夫,31
雪雁道,21,受用,31
碟子,21,睡着,31
联道,21,张罗,31
半个,21,随便,31
芙蓉,21,无事,31
上车,21,甄宝玉,31
